file,label
178136__(1)_klankbeeld__pineforest-0-2-bft-winter130213-00 (1).wav,Silence
178136__(2)_klankbeeld__pineforest-0-2-bft-winter130213-00 (1).wav,Silence
178136__(3)_klankbeeld__pineforest-0-2-bft-winter130213-00.wav,Silence
178136__(4)_klankbeeld__pineforest-0-2-bft-winter130213-00.wav,Silence
178136__(5)_klankbeeld__pineforest-0-2-bft-winter130213-00.wav,Silence
178136__(6)_klankbeeld__pineforest-0-2-bft-winter130213-00.wav,Silence
178136__(7)_klankbeeld__pineforest-0-2-bft-winter130213-00 (1).wav,Silence
178136__(8)_klankbeeld__pineforest-0-2-bft-winter130213-00 (1).wav,Silence
178136__(9)_klankbeeld__pineforest-0-2-bft-winter130213-00.wav,Silence
178136__(10)_klankbeeld__pineforest-0-2-bft-winter130213-00 .wav,Silence
179588__(1)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn (1).wav,Silence
79588__(2)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn (1).wav,Silence
179588__(3)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn.wav,Silence
179588__(4)_stormpetrel__westland-petrels-land-in-their-colony-at-daw.wav,Silence
179588__(5)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn (1).wav,Silence
179588__(6)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn (1).wav,Silence
179588__(7)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn.wav,Silence
179588__(8)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn.wav,Silence
179588__(9)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn.wav,Silence
179588__(10)_stormpetrel__westland-petrels-land-in-their-colony-at-dawn.wav,Silence
184219__(1)_thorvandahl__forest-closer-to-silence .wav,Silence
184219__(2)_thorvandahl__forest-closer-to-silence.wav,Silence
184219__(3)_thorvandahl__forest-closer-to-silence (1).wav,Silence
184219__(4)_thorvandahl__forest-closer-to-silence (1).wav,Silence
184219__(5)_thorvandahl__forest-closer-to-silence.wav,Silence
184219__(6)_thorvandahl__forest-closer-to-silence (1).wav,Silence
184219__(7)_thorvandahl__forest-closer-to-silence.wav,Silence
184219__(8)_thorvandahl__forest-closer-to-silence (1).wav,Silence
184219__(9)_thorvandahl__forest-closer-to-silence.wav,Silence
184219__(10)_thorvandahl__forest-closer-to-silence.wav,Silence
336473__(1)_klankbeeld__woodpeckers-looking-for-food-130215-00.wav,Silence
336473__(2)_klankbeeld__woodpeckers-looking-for-food-130215-00 (1).wav,Silence
336473__(3)_klankbeeld__woodpeckers-looking-for-food-130215-00 (1).wav,Silence
336473__(4)_klankbeeld__woodpeckers-looking-for-food-130215-00 (1).wav,Silence
336473__(5)_klankbeeld__woodpeckers-looking-for-food-130215-00.wav,Silence
336473__(6)_klankbeeld__woodpeckers-looking-for-food-130215-00 (1).wav,Silence
336473__(7)_klankbeeld__woodpeckers-looking-for-food-130215-00.wav,Silence
336473__(8)_klankbeeld__woodpeckers-looking-for-food-130215-00.wav,Silence
336473__(9)_klankbeeld__woodpeckers-looking-for-food-130215-00.wav,Silence
336473__(10)_klankbeeld__woodpeckers-looking-for-food-130215-00.wav,Silence
492171__(1)_jgrzinich__winds-and-light-snow-in-a-forest (1).wav,Silence
492171__(2)_jgrzinich__winds-and-light-snow-in-a-forest (1).wav,Silence
492171__(3)_jgrzinich__winds-and-light-snow-in-a-forest.wav,Silence
492171__(4)_jgrzinich__winds-and-light-snow-in-a-forest (1).wav,Silence
492171__(5)_jgrzinich__winds-and-light-snow-in-a-forest .wav,Silence
492171__(6)_jgrzinich__winds-and-light-snow-in-a-forest (1).wav,Silence
492171__(7)_jgrzinich__winds-and-light-snow-in-a-forest.wav,Silence
492171__(8)_jgrzinich__winds-and-light-snow-in-a-forest.wav,Silence
348510__(1)_marlo1981__country-side-night-ambience (1).wav,Silence
348510__(2)_marlo1981__country-side-night-ambience.wav,Silence
348510__(3)_marlo1981__country-side-night-ambience (1).wav,Silence
348510__(4)_marlo1981__country-side-night-ambience (1).wav,Silence
348510__(5)_marlo1981__country-side-night-ambience.wav,Silence
348510__(6)_marlo1981__country-side-night-ambience.wav,Silence
348510__(7)_marlo1981__country-side-night-ambience (1).wav,Silence
348510__(8)_marlo1981__country-side-night-ambience (1).wav,Silence
492171_(9)_jgrzinich__winds-and-light-snow-in-a-forest.wav,Silence
492171_(10)_jgrzinich__winds-and-light-snow-in-a-forest.wav,Silence
23709_A.wav,TreeFalling
23709_B.wav,TreeFalling
150203_A.wav,TreeFalling
150203_B.wav,TreeFalling
150203_C.wav,TreeFalling
165551_A.wav,TreeFalling
165551_B.wav,TreeFalling
414093_A.wav,TreeFalling
414093_B.wav,TreeFalling
438343_A.wav,TreeFalling
438343_B.wav,TreeFalling
486262_A.wav,TreeFalling
486262_B.wav,TreeFalling
486262_C.wav,TreeFalling
494071_A.wav,TreeFalling
494071_B.wav,TreeFalling
515312_A.wav,TreeFalling
535352_A.wav,TreeFalling
535352_B.wav,TreeFalling
535352_C.wav,TreeFalling
583269_A.wav,TreeFalling
583269_B.wav,TreeFalling
583269_C.wav,TreeFalling
626734_A.wav,TreeFalling
626735_A.wav,TreeFalling
626735_B.wav,TreeFalling
626735_C.wav,TreeFalling
626736_A.wav,TreeFalling
626736_B.wav,TreeFalling
637910_A.wav,TreeFalling
637910_B.wav,TreeFalling
637910_C.wav,TreeFalling
139952__ecfike__a-tree-falling-down.wav,TreeFalling
192360__jamesrodavidson__sampler-tree-falling2.wav,TreeFalling
192361__jamesrodavidson__sampler-tree-falling.wav,TreeFalling
486263__craigsmith__r22-44-tree-falls-and-hits-ground.wav,TreeFalling
515313__matt-beer__timber-tree-falling-1.wav,TreeFalling
637911__kyles__tree-cut-crack-and-fall-in-forest2-stereo.wav,TreeFalling
111121__donjupitor__ste-000.wav,TreeFalling
593315__vitru20__4elements-earth-10-21.wav,TreeFalling
593315__vitru20__4elements-earth-10-21-3.wav,TreeFalling
593315__vitru20__4elements-earth-10-21-2.wav,TreeFalling
637912__kyles__tree-cut-crack-and-fall-in-forest3-movement-not-thud.wav,TreeFalling
645349__studio-cill__tree-crack.wav,TreeFalling
257650__speedygonzo__tree-stump-breaks-and-falls.wav,TreeFalling
593875__igroglaz__tree-fall.wav,TreeFalling
396509__kev-durr__log-falling-in-forest.wav,TreeFalling
530163__wyskoj__heavy-explosion-in-forest-debris-tree-falling-2.wav,TreeFalling
211539__tomble93__christmas-falling-over.wav,TreeFalling
111121__donjupitor__ste-000-2.wav,TreeFalling
530163__wyskoj__heavy-explosion-in-forest-debris-tree-falling.wav,TreeFalling
tree-felli_07054076.wav,TreeFalling
tree-felli_07054077.wav,TreeFalling
stroke-b_07002293.wav,TreeFalling
tree-felli_07054077-2.wav,TreeFalling
tree-felli_07058031.wav,TreeFalling
wooden-cra_07022332.wav,TreeFalling
tree-felli_07058029.wav,TreeFalling
tree-felli_nhu0500400.wav,TreeFalling
tree-felli_07058030.wav,TreeFalling
wooden-cra_07022334.wav,TreeFalling
stroke-b_07002293-2.wav,TreeFalling
tree-felli_07058129.wav,TreeFalling
tree-felli_07058129-2.wav,TreeFalling
50668__boilingsand__chainsaw-with-bobcat-idling-and-tree-bits-falling-080320.mp3,TreeFalling
558659__newlocknew__hurricane-in-the-pine-forest-25lrs-mltprcssng.wav,TreeFalling
550918__profispiesser__fxsasc-wood-tree-trunk-impact-ground-forest-5-variants.wav,TreeFalling
80845__ross-craig__zack-drops-a-tree.wav,TreeFalling
393826__inchadney__tree-coming-down.wav,TreeFalling
553193__t-man95__chainsaw-on-trees.wav,TreeFalling
583269__kevinsonger__tree-branch-crashing-in-the-forest.wav,TreeFalling
553268__t-man95__tree-felling-light-with-chainsaw.wav,TreeFalling
637698__kyles__motor-or-chainsaw-mean-sounding-nearby.wav,TreeFalling
felli_07058029.wav,TreeFalling
553193_A.wav,TreeFalling
71486__deleted-user-229898__helicopter4-distant.wav,Helicopter
71483__deleted-user-229898__helicopter1.wav,Helicopter
71485__deleted-user-229898__helicopter3.wav,Helicopter
71484__deleted-user-229898__helicopter2.wav,Helicopter
71489__deleted-user-229898__helicopter-big3.wav,Helicopter
71487__deleted-user-229898__helicopter-big1.wav,Helicopter
74242__benboncan__military-helicopter.wav,Helicopter
71488__deleted-user-229898__helicopter-big2.wav,Helicopter
49481__lorenzosu__helicopterpassage-28sec.wav,Helicopter
49482__lorenzosu__helicopterraw-16sec (1).wav,Helicopter
49482__lorenzosu__helicopterraw-16sec.wav,Helicopter
49483__lorenzosu__helicopterraw-30sec.wav,Helicopter
348991__bzamecnik__powerful-helicopter-sound-bell-407-ok-alb.wav,Helicopter
56292__benboncan__hofrenydd.wav,Helicopter
28116__ermine__070103-00-35-strafingchopper-initpass.wav,Helicopter
521365__taylordonj__helicopterfieldwithbirds.wav,Helicopter
521365__taylordonj__helicopterfieldwithbirds1.wav,Helicopter
340802__akc1231__helicopter.wav,Helicopter
251783__ninafoletti__helicopter.wav,Helicopter
20814__popcorn__helicopter.wav,Helicopter
534855__m-cel__helicopter-flyby.wav,Helicopter
395594__beeproductive__helicopter-2.wav,Helicopter
150976__mings__helicopter-landing.wav,Helicopter
388287__pan14__helicopter-passby-1.wav,Helicopter
404709__blimp66__helicopter-fly-over.wav,Helicopter
39973__dobroide__20070820-tent-rain-helicopter.wav,Helicopter
68630__bwav__helicopter-take-off-distance.wav,Helicopter
345084__metrostock99__helicopter-overhead-v-1-cleanfinal.wav,Helicopter
467225__derjuli__helicopter-flyby.wav,Helicopter
460137__dela-deb__helicopter-rustling-leaves.wav,Helicopter
191131__yacou__helicopter-and-thunder.wav,Helicopter
48418__inchadney__helicopter.wav,Helicopter
520915__5ound5murf23__helicopter.wav,Helicopter
133675__klangpinnwand__helicopter-start.wav,Helicopter
118453__omar-alvarado__helicopter-leave.wav,Helicopter
19516__gezortenplotz__helicopter-fadeout.wav,Helicopter
440161__olesouwester__helicopter-2.wav,Helicopter
77312__gezortenplotz__helicopter02.wav,Helicopter
355053__supersciri__helicopter-and-cow-bells.wav,Helicopter
574240__frodeims__helicopter-passing.wav,Helicopter
126448__inchadney__helicopter.wav,Helicopter
173102__zabuhailo__helicopter1.wav,Helicopter
173102__zabuhailo__helicopter1..wav,Helicopter
173101__zabuhailo__helicopter2.wav,Helicopter
"173101__zabuhailo__helicopter2,.wav",Helicopter
188822__peridactyloptrix__helicopter-landing.wav,Helicopter
188822__peridactyloptrix__helicopter-landing..wav,Helicopter
318196__2hear__army-helicopter.wav,Helicopter
258380__constructabeat__air-tone-london-with-helicopter.wav,Helicopter
258380__constructabeat__air-tone-london-with-helicopter2.wav,Helicopter
77313__gezortenplotz__helicopter03.wav,Helicopter
77313__gezortenplotz__helicopter031.wav,Helicopter
346934__clucs__helicopter.wav,Helicopter
346934__clucs__helicopter1.wav,Helicopter
398744__anthousai__birds-helicopter-01.wav,Helicopter
398744__anthousai__birds-helicopter-011.wav,Helicopter
437148__neilraouf__helicopter-appraoching-from-distance-48khz-24bit.wav,Helicopter
437148__neilraouf__helicopter-appraoching-from-distance-48khz-24bit1.wav,Helicopter
494969__nuncaconoci__helicopter.wav,Helicopter
556020__thegreatbelow__helicopter-hovering-distant.wav,Helicopter
556020__thegreatbelow__helicopter-hovering-distant1.wav,Helicopter
66643__benboncan__chinook-high.wav,Helicopter
638259__alex-carvalho__helicopter.wav,Helicopter
548340__thegreatbelow__helicopter-hovering-close.wav,Helicopter
583974__soundsnapfx__police-helicopter-operating.wav,Helicopter
177957__senorstudy__helicopter-inside-takeoff.wav,Helicopter
154926__kerouac21__london-exterior-helicopter-passes-overhead.wav,Helicopter
133500__setuniman__circling-helicopter-m97-34c.wav,Helicopter
177957__senorstudy__helicopter-inside-takeoff1.wav,Helicopter
28118__ermine__070103-00-35-strafingchopper-searchingpass.wav,Helicopter
258380__constructabeat__air-tone-london-with-helicopter1.wav,Helicopter
161579_(1)_doctor567__helicopter-flyover.wav,Helicopter
325679_(2)_anika11__helicopter-helicopter-flying-by-sfx.wav,Helicopter
325679_(1)_anika11__helicopter-helicopter-flying-by-sfx.wav,Helicopter
161579_(2)_doctor567__helicopter-flyover.wav,Helicopter
345558__inspectorj__car-engine-exterior-a.wav,VehicleEngine
585215__myeclecticself__car-engine-maserati-granturismo-switch-to-sport-mode-and-launch.wav,VehicleEngine
585215__myeclecticself__car-engine-maserati-granturismo-switch-to-sport-mode-and-launch11.wav,VehicleEngine
544629__legnalegna55__starting-truck-sound.wav,VehicleEngine
332386__gladkiy__drive-away-ford-transit-ambulance.wav,VehicleEngine
332385__gladkiy__idle-mitsubishi-pajero-front-engine.wav,VehicleEngine
425656__soundholder__renault-kangoo-1-6-16v-onboard-engine-gas-pressing-on-idle-mono-4061.wav,VehicleEngine
425508__soundholder__bmw-640d-gran-coupe-engine-reverse-mono.wav,VehicleEngine
425495__soundholder__bmw-420d-gran-coupe-engine-start-idle-gas-pressing-and-off-mono.wav,VehicleEngine
425396__soundholder__audi-a4-b8-20tdi-update-engine-set1-acceleration-slow-mono.wav,VehicleEngine
425493__soundholder__bmw-114i-e87-engine-start-idle-off.wav,VehicleEngine
425838__soundholder__renault-master-28dti-engine-1-3-accelerations-wind-mono.wav,VehicleEngine
425838__soundholder__renault-master-28dti-engine-1-3-accelerations-wind-mononl.wav,VehicleEngine
425863__soundholder__volkswagen-golf-ii-1-6-diesel-engine-problem-mono.wav,VehicleEngine
425629__soundholder__jeep-grand-cherokee-wj-4-7-exterior-wet-asphalt-passby-20kmph-following-mono-8040.wav,VehicleEngine
425865__soundholder__volkswagen-golf-ii-1-6-diesel-exterior-passby-fast-mono.wav,VehicleEngine
425383__soundholder__audi-a4-allroad-20tfsi-exterior-drive-away-accelerating-fast-following-mono-ntg3.wav,VehicleEngine
257030__jagadamba__vehicle-passing-driving-car-lorry-van-bus-tractor-truck.wav,VehicleEngine
257030__jagadamba__vehicle-passing-driving-car-lorry-van-bus-tractor-truckgshj.wav,VehicleEngine
257029__jagadamba__vehicle-passing-driving-car-lorry-van-bus-tractor-truck.wav,VehicleEngine
332850__elgeorgia__diesel-car-engine-in-street.wav,VehicleEngine
379383__13fpanska-sychra-petr__bus-engine-running-outside.wav,VehicleEngine
425268__77pacer__airplane-tank-engine-sound.wav,VehicleEngine
182793__qubodup__military-vehicle-humming.wav,VehicleEngine
187564__qubodup__truck-engine-idle-loops.wav,VehicleEngine
188006__motion-s__motorbike-engine-passing.wav,VehicleEngine
219558__qubodup__bus-driving-off.wav,VehicleEngine
341608__ryding__car-accelerate.wav,VehicleEngine
523952__tim-kahn__cool-sounding-motorcycle.wav,VehicleEngine
536962__samuelgremaud__road-1.wav,VehicleEngine
536962__samuelgremaud__road-1haj.wav,VehicleEngine
536962__samuelgremaud__road-1hsisksks.wav,VehicleEngine
536962__samuelgremaud__road-1rtyui.wav,VehicleEngine
536962__samuelgremaud__road-1haha.wav,VehicleEngine
536962__samuelgremaud__road-1dcs.wav,VehicleEngine
262905__vlatkoblazek__older-car-start.wav,VehicleEngine
567575__arrowheadproductions__car-motor.wav,VehicleEngine
543959__samuelgremaud__tractor-2.wav,VehicleEngine
628807__the-underdog__binaural-car-going-past.wav,VehicleEngine
619046__mrrap4food__high-performance-car-start-and-idle.wav,VehicleEngine
639224__j-soundeffects__1990-volvo-240-dl-wet-night-drive-off.wav,VehicleEngine
403374__kellyn-lyn__carriage-motor.wav,VehicleEngine
368083__gacain__car-taking-off.wav,VehicleEngine
578717__gregorquendel__cars-drive-by-on-wet-street.wav,VehicleEngine
340167__rsn267__traffic-on-the-road.wav,VehicleEngine
241722__addiofbaddi__mercedes-passing-fast.wav,VehicleEngine
215190__arnaud-coutancier__2-cars-passing-on-wet-road.wav,VehicleEngine
512630__tim-kahn__late-night-burnout.wav,VehicleEngine
536961__samuelgremaud__truck-passing-1.wav,VehicleEngine
536960__samuelgremaud__truck-passing-2.wav,VehicleEngine
380805__eleniklelen__car-in-turn.wav,VehicleEngine
460935__dela-deb__old-car-startup-coffee-maker.wav,VehicleEngine
418266__arnaud-coutancier__motor-scooter-passing-on-icy-road.wav,VehicleEngine
622829__mullumbimby__cold-start-of-old-diesel-car.wav,VehicleEngine
631451__widosub__car-drive-engine-human-movements-interior.wav,VehicleEngine
631451__widosub__car-drive-engine-human-movements-interiorhkj.wav,VehicleEngine
425525__soundholder__cars-in-motion-passby-gas-engine-truck-medium-speed-stereo-ortf-8040.wav,VehicleEngine
253732__mings__vauxhall-chevette-idling.wav,VehicleEngine
425627__soundholder__jeep-grand-cherokee-wj-4-7-exterior-wet-asphalt-passby-fast-while-accelerating-following-mono-8040.wav,VehicleEngine
368667__nicstage__chieftanruncrush1.wav,VehicleEngine
348318__blackneon1234__braking-car.wav,VehicleEngine
451266__vinci7__van-stationary.wav,VehicleEngine
428606__soundlover16__omnia-truck-pass-by.wav,VehicleEngine
319499__peridactyloptrix__1950-ford-mercury-interior-ignition-and-slow-cruise.wav,VehicleEngine
319499__peridactyloptrix__1950-ford-mercury-interior-ignition-and-slow-cruiseghjbjnk.wav,VehicleEngine
213729__pitfactory__car-start-mercedes-diesel-outsidjklle.wav,VehicleEngine
